run_id,row_index,iso_name,anc_name,ref_name,exit_code,start_time,end_time,duration_sec,output_dir,error
SRR7749031,15,SRR7749031,SRR512907,U00096,0,2026-02-07T01:28:12.964514,2026-02-07T01:29:06.141986,53,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR21726473,16,SRR21726473,SRR21726456,U00096,0,2026-02-07T01:29:01.804173,2026-02-07T01:29:39.978296,38,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR14203610,17,SRR14203610,SRR23196934,CP009273,0,2026-02-07T01:29:06.142040,2026-02-07T01:29:58.904519,52,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR21726401,19,SRR21726401,SRR21726456,U00096,0,2026-02-07T01:29:58.904575,2026-02-07T01:30:26.162103,27,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR3722032,18,SRR3722032,SRR3721963,CP009273,0,2026-02-07T01:29:39.978350,2026-02-07T01:30:32.613971,52,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR12980455,21,SRR12980455,SRR5395827,U00096,0,2026-02-07T01:30:32.614027,2026-02-07T01:31:19.702188,47,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR16212215,22,SRR16212215,SRR16203025,CP000819,0,2026-02-07T01:31:19.702242,2026-02-07T01:35:41.332909,261,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR396872,20,SRR396872,Sample_SRR098028,CP000819,0,2026-02-07T01:30:26.162158,2026-02-07T01:36:40.868117,374,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR9076101,23,SRR9076101,SRR512907,U00096,0,2026-02-07T01:35:41.332964,2026-02-07T01:37:14.990009,93,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR9648311,24,SRR9648311,SRR9648125,CP009273,0,2026-02-07T01:36:40.868145,2026-02-07T01:37:24.630014,43,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
ERR3503216,26,ERR3503216,SRR21726456,U00096,0,2026-02-07T01:37:24.630042,2026-02-07T01:38:01.395759,36,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR23196871,27,SRR23196871,SRR23196934,CP009273,0,2026-02-07T01:38:01.395811,2026-02-07T01:38:31.371493,29,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR23196908,28,SRR23196908,SRR23196934,CP009273,0,2026-02-07T01:38:31.371512,2026-02-07T01:39:25.016809,53,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR25783737,25,SRR25783737,SRR25783824,CP009273,0,2026-02-07T01:37:14.990039,2026-02-07T01:39:52.442112,157,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR23196933,29,SRR23196933,SRR23196934,CP009273,0,2026-02-07T01:39:25.016864,2026-02-07T01:40:07.428945,42,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR396529,30,SRR396529,SRR396537,U00096,0,2026-02-07T01:39:52.442166,2026-02-07T01:40:34.816613,42,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR14585633,31,SRR14585633,SRR14585636,U00096,0,2026-02-07T01:40:07.428974,2026-02-07T01:40:37.601332,30,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR12830937,32,SRR12830937,SRR5395827,U00096,0,2026-02-07T01:40:34.816667,2026-02-07T01:40:58.624390,23,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR14585635,33,SRR14585635,SRR14585636,U00096,0,2026-02-07T01:40:37.601386,2026-02-07T01:41:13.723429,36,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR14585611,34,SRR14585611,SRR14585636,U00096,0,2026-02-07T01:40:58.624419,2026-02-07T01:41:26.777762,28,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR5182911,35,SRR5182911,SRR5182940,U00096,0,2026-02-07T01:41:13.723484,2026-02-07T01:41:57.114800,43,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR25783864,37,SRR25783864,SRR25783826,CP009273,0,2026-02-07T01:41:57.114853,2026-02-07T01:42:37.239189,40,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR13403572,36,SRR13403572,SRR13606292,U00096,0,2026-02-07T01:41:26.777836,2026-02-07T01:42:57.212262,90,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR23196873,38,SRR23196873,SRR23196934,CP009273,0,2026-02-07T01:42:37.239244,2026-02-07T01:43:17.727868,40,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR23196644,39,SRR23196644,SRR23196934,CP009273,0,2026-02-07T01:42:57.212316,2026-02-07T01:43:21.823928,24,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
ERR3383477,40,ERR3383477,SRR21726456,U00096,0,2026-02-07T01:43:17.727923,2026-02-07T01:43:52.380386,34,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR23196646,42,SRR23196646,SRR23196934,CP009273,0,2026-02-07T01:43:52.380414,2026-02-07T01:44:14.781295,22,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR23196829,41,SRR23196829,SRR23196934,CP009273,0,2026-02-07T01:43:21.823985,2026-02-07T01:45:01.304218,99,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR12903635,44,SRR12903635,SRR5395827,U00096,0,2026-02-07T01:45:01.304275,2026-02-07T01:45:20.224141,18,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR23196932,43,SRR23196932,SRR23196934,CP009273,0,2026-02-07T01:44:14.781350,2026-02-07T01:45:23.987984,69,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR5115665,45,SRR5115665,SRR5115654,CP083410,0,2026-02-07T01:45:20.224196,2026-02-07T01:45:39.251320,19,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR7786242,46,SRR7786242,SRR7786219,U00096,0,2026-02-07T01:45:23.988044,2026-02-07T01:46:10.702626,46,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR23196942,48,SRR23196942,SRR23196709,CP009273,0,2026-02-07T01:46:10.702668,2026-02-07T01:47:05.809923,55,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
